,Character,Actor
0,Bruce Wayne/Batman,Christian Bale
1,Alfred,Michael Caine
2,Ducard,Liam Neeson
3,Rachel Dawes,Katie Holmes
4,Jim Gordon,Gary Oldman
5,Dr. Jonathan Crane/The Scarecrow,Cillian Murphy
6,Carmine Falcone,Tom Wilkinson
7,Earle,Rutger Hauer
8,Ra's Al Ghul,Ken Watanabe
9,Flass,Mark Boone Junior
10,Thomas Wayne,Linus Roache
11,Lucius Fox,Morgan Freeman
12,Finch,Larry Holden
13,Judge Faden,Gerard Murphy
14,Loeb,Colin McFarlane
15,Martha Wayne,Sara Stewart
16,Bruce Wayne - age 8,Gus Lewis
17,Joe Chill,Richard Brake
18,Homeless Man(as Rade Sherbedgia),Rade Serbedzija
19,Rachel Dawes - age 8,Emma Lockhart
20,Jessica,Christine Adams
21,Blonde Female Reporter/Assassin,Catherine Porter
22,Fredericks,John Nolan
23,Courthouse Reporter #1,Karen David
24,Courthouse Reporter #2,Jonathan D. Ellis
25,Faden's Limo Driver,Tamer Hassan
26,Uniformed Policeman #1,Ronan Leahy
27,Old Asian Prisoner,Vincent Wong
28,Bhutanese Prison Guard #1,Tom Wu
29,Bhutanese Prison Guard #2,Mark Chiu
30,Enormous Prisoner,Turbo Kong
31,Chinese Police Officer(as Stuart Ong),Sai-Kit Yung
32,Chinese Police Officer,Chike Chan
33,Himalayan Child,Tenzin Clive Ball
34,Old Himalayan Man,Tenzin Gyurme
35,Stocky Chinese Man(as Jamie Cho),Jamie Hayden
36,Jumpy Thug,David Murray
37,Dock Thug #2,John Kazek
38,Dock Thug #3,Darragh Kelly
39,Dock Cop #1,Patrick Nolan
40,Dock Cop #2,Joseph Rye
41,Dock Cop #3,Kwaku Ankomah
42,Police Prison Official,Jo Martin
43,Wayne Enterprises Executive,Charles Edwards
44,Female Restaurant Guest,Lucy Russell
45,Male Restaurant Guest(as Tim Deenihan),Timothy Deenihan
46,Maitre D,David Bedella
47,Restaurant Blonde #1,Flavia Masetto
48,Restaurant Blonde #2,Emily Steven-Daly
49,Gotham Dock Employee,Martin McDougall
50,Arkham Thug #1,Noah Lee Margetts
51,Arkham Thug #2,Joe Hanley
52,Arkham Thug #3,Karl Shiels
53,Arkham Uniformed Policeman,Roger Griffiths
54,Arkham Lunatic,Stephen Walters
55,Arkham Chase Cop,Richard Laing
56,Gotham Car Cop #3,Matt Miller
57,Captain Simonson,Risteard Cooper
58,Older Gotham Water Board Technician,Shane Rimmer
59,Younger Gotham Water Board Technician,Jeremy Theobald
60,Gotham Society Dame,Alexandra Bastedo
61,Farmer,Soo Hee Ding
62,Monorail Driver(as Con Horgan),Conn Horgan
63,Transit Cop,Phill Curr
64,Little Boy,Jack Gleeson
65,Narrows Bridge Cop,John Judd
66,Mrs. Dawes,Sarah Wateridge
67,Basement Club Manager,Charlie Kranz
68,Bad Swat Cop #1,Terry McMahon
69,Liquor Store Owner,Cedric Young
70,Victor Zsaz,Tim Booth
71,Valet,Tom Nolan
72,Pedestrian,Leon Delroy Williams
73,Hazmat Technician,Roger Yuan
74,Narrows Teenager #1,Joe Sargent
75,Narrows Resident,Mel Taylor
76,Barbara Gordon,Ilyssa Fradin
77,Uniformed Policeman #2,Andrew Pleavin
78,Driving Cop,Jeff Christian
79,Arkham Lunatic Cell Mate,John Burke
80,Arkham Asylum Nurse,Earlene Bentley
81,Arkham Asylum Orderly,Alex Moggridge
82,Asian Man - Ra's Al Ghul Decoy,Jay Buozzi
83,African Boy in Rags,Jordan Shaw
84,Falafel Stand Vendor,Omar Mostafa
85,Opera Performer #1 Faust- Bass,Patrick Pond
86,Opera Performer #2 Margaret - Soprano,Poppy Tierney
87,Opera Performer #3 Mefistofele - Tenor,Rory Campbell
88,Caterer,Fabio Cardascia
89,League of Shadows Warriors,Spencer Wilding
90,League of Shadows Warriors(as Rhino),Mark Rhino Smith
91,League of Shadows Warriors,Khan Bonfils
92,League of Shadows Warriors,Dave Legeno
93,League of Shadows Warriors,Ruben Halse
94,League of Shadows Warriors,Rodney Ryan
95,Narrows Cop,Dominic Burgess
96,Additional Restaurant Guest #1,Nadia Cameron-Blakey
97,Male Restaurant Guest #2,Mark Straker
98,Crane Thug #1(as TJ Ramini),T.J. Ramini
99,Crane Thug #2,Kieran Hurley
100,Narrows Teenager #2,Emmanuel Idowu
101,Bridge Cop,Jeff Tanner
102,League of Shadows Warrior,Dean Alexandrou
103,League of Shadows Warrior,Joey Ansah
104,Juror,Anoushka Arden
105,Countess at the Opera,Alex Argenti
106,Passenger,Lasco Atkins
107,Gotham Car Cop,Rick Avery
108,Party Animal,Morne Botes
109,Police,John Jason Bucknall
110,Arkham Prison Guard,Douglas Bunn
111,Dr. Kraker,Gary Bunn
112,Extra,Kimber Closson
113,Prisoner,Martin Alexander Colton
114,Thug,Thomas D. Craven
115,League of Shadows Warrior,Alexander Curtis
116,Gotham Police Officer,Ray Donn
117,League of Shadows Warrior,James Embree
118,League of Shadows Warrior,Jonathan Patrick Foo
119,Police Officer,Jennifer A. Goodman
120,Swat Team Member,Daniel Grzeskowiak
121,Shadow Warrior,Tommy Gunn
122,Victor Zsasz Attorney,Philip Harvey
123,Gotham Police Officer,Adam Hawkes
124,Shadow Warrior,James Heatlie
125,League of Shadows Warrior,Scott Hinds
126,Religious Shop Owner,Paul Kissaun
127,League of Shadows Warrior,Don Klass
128,Narrows Person,Gil Kolirin
129,Arkham Inmate,Ryan Kross
130,Falcone Bodyguard,Jeff Lipman
131,League of Shadows Warrior,Sonny Louis
132,League of Shadows Warrior,Emil Martirossian
133,S.W.A.T. Team Member,Arnold Montey
134,Opera Hag,Jane Osborn
135,Curious Bank Hostage,Allen Panakal
136,S.W.A.T. Team Member,John Perkins
137,S.W.A.T. Team Member,Ernest Pierce
138,Narrows Rioter,Dan Poole
139,Court Reporter,Abdul Popoola Pope
140,S.W.A.T. Team Member,Marc Radz
141,Arkham Cop,Mike Savva
142,Asylum Guard,Kit Sinnett
143,Driver,Michael Stailey
144,Gotham City Police Officer,Jimmy Star
145,League of Shadow Warrior,Mark Strange
146,Gotham City Police Officer,Dee Tails
147,League of Shadows Warrior,Chuen Tsou
148,Opera Hag,Russell Wilcox
